Nr,Navn,Inndeling,Rnr,Region,Fnr,Fylke,År,Folkemengde,Antall personer 6-15,SKS tildelinger,Forfattere,Musikere og komponister,Film- og scenekunstnere,Visuelle kunstnere,Kulturformidling,Kunstnerisk Produksjon,Media,Total Besøk,Betalende Besøk,Utstillinger og arrangementer,Billettselskap Arrangementer,Billettselskap Omsetning,Filmfremvisninger,Kinobesøk,Mangfold filmframvisniger,Mangfold kinobesøk,Besøk,Voksne aktive lånere,Utlån,Arrangement deltakere,Teater Forestillinger,Teater Publikum,Dans Forestillinger,Elever,Timer,Mangfold Timer,Publikum,Mangfold Publikum,Frifond,Riksantikvar og Kulturminnefond,Norsk Kulturråd,Historielag,Husflidlag,Kor,Korps,MVA Refusjon,Voksenopplæring,Kunstlag
427,Elverum,Kommune,10013,Sør Østerdal,4,Hedmark,2014,20563,2461,,0.145893109,1.361669017,0.097262073,0.486310363,10.40704177,2.723338034,12.64406945,6.582551184,4.571998249,,0.729465545,33.75222487,93.85790011,2.227982298,56,64,3.354812041,113.1644215,2.781598016,,0.486310363,0.092739386,0.048631036,0.241365299,2.000812678,227,5.541649736,192,7.878227885,29.03272869,2.431551816,13.90847639,4.182269124,13.66532121,12.59543841,7.470553908,16.04824199,
427,Elverum,Kommune,10013,Sør Østerdal,4,Hedmark,2015,20794,2455,,0.144272386,1.442723863,,0.577089545,8.752524767,1.15417909,10.29143022,6.406222949,4.55924786,,0.721361931,41.64893719,90.50687698,2.444455131,61,62,3.687602193,114.0232759,3.320717515,0,0.721361931,0.09493123,0.096181591,0.212627291,1.831771894,259,5.118940937,263,3.318264884,20.34240646,157.3530826,13.75396749,4.52053477,15.05241897,11.78224488,8.323651053,14.28296624,
427,Elverum,Kommune,10013,Sør Østerdal,4,Hedmark,2016,21030,2473,12.23533048,0.142653352,1.378982406,,0.523062292,8.654303376,1.426533524,9.129814551,6.404184498,4.451165002,,3.613884926,176.872991,97.09938184,2.940038041,55,65,3.599619591,110.2234903,3.344460295,0.072277699,1.236329054,0.129101284,0.237755587,0.159320663,1.720986656,266,5.548726243,301,2.710413695,6.657156443,171.9880171,13.59961959,4.564907275,15.12125535,12.07798383,9.042700903,13.83737518,5.468378507
427,Elverum,Kommune,10013,Sør Østerdal,4,Hedmark,2017,21086,2487,11.67940814,0.189699327,1.565019444,0.047424832,0.521673148,8.821018685,1.991842929,7.967371716,5.093996016,4.366736223,5.216731481,3.699136868,203.7967846,97.41060419,2.186237314,47,58,4.014464574,108.6502893,3.122356066,0.003272313,0.426823485,0.076259129,,0.290711701,2.045034178,202,4.469240048,127,2.655790572,11.33453476,174.7087167,13.56350185,4.363084511,16.55126624,11.42938443,13.09963957,15.46049512,5.074456986
427,Elverum,Kommune,10013,Sør Østerdal,4,Hedmark,2018,21123,2506,11.65894996,0.14202528,1.656961606,0.14202528,0.662784642,7.953415708,2.367088008,7.574681627,4.907068125,4.252000189,6.722529944,3.834682573,131.1054301,93.97339393,2.30956777,65,63,3.898262557,103.82048,2.78805094,0.019930881,0.804809923,0.143729584,0.04734176,0.157222666,1.910215483,230,3.296488428,322,3.578563651,25.75391753,164.2759078,13.53974341,4.639492496,16.33290726,10.65189604,11.53751834,22.72404488,4.308100175
428,Trysil,Kommune,10013,Sør Østerdal,4,Hedmark,2014,6621,692,,0.151034587,1.057242108,,0.302069174,5.437245129,1.510345869,1.208276695,0.424709258,0.103458692,,1.208276695,29.75260535,18.4262196,0.852892312,204,193,2.409001661,139.7069929,3.690077028,,2.114484217,0.142425615,,0.335260116,4.557803468,50,6.679190751,21,0,0,0,9.515178976,11.32759402,24.76967225,16.61380456,10.43090168,15.85863163,
428,Trysil,Kommune,10013,Sør Østerdal,4,Hedmark,2015,6569,692,,0.152230172,1.217841376,,0.304460344,5.175825849,1.217841376,0.608920688,,,,2.28345258,29.23778353,18.11539047,0.886131831,206,183,0,130.3090272,3.430506926,0.334906378,0.913381032,0.069416958,,0.317919075,4.656069364,48,5.458092486,152,0,29.83711372,,9.590500837,12.78733445,23.44344649,16.59308875,12.79966509,14.76632669,
428,Trysil,Kommune,10013,Sør Østerdal,4,Hedmark,2016,6525,659,12.2605364,0.153256705,1.072796935,,0.30651341,4.597701149,1.53256705,0.30651341,0.450268199,0.091034483,,3.524904215,98.88873563,19.15708812,1.341762452,222,166,3.98467433,130.7279693,3.754022989,0.232950192,0.61302682,0.043065134,,0.338391502,5.883156297,25,7.408194234,48,0,6.436781609,,9.655172414,10.72796935,24.21455939,18.69731801,17.75862069,7.969348659,8.429118774
428,Trysil,Kommune,10013,Sør Østerdal,4,Hedmark,2017,6550,659,2.290076336,0.305343511,1.06870229,,0.305343511,4.885496183,1.221374046,,0.131755725,0.131755725,1.374045802,3.511450382,79.71450382,23.20610687,0.944580153,204,165,3.816793893,124.8854962,3.679083969,0,0.763358779,0.089007634,,0.338391502,6.056145675,19,4.707132018,178,0,112.8244275,15.26717557,0,11.45038168,23.81679389,17.70992366,28.6680916,9.770992366,6.106870229
428,Trysil,Kommune,10013,Sør Østerdal,4,Hedmark,2018,6567,676,10.65935739,0.304553068,1.218212273,0.152276534,0.304553068,4.568296026,2.131871479,0.609106137,0.40642607,0.40642607,1.370488808,3.350083752,112.9754835,26.80067002,1.145271814,161,143,4.111466423,141.7694533,4.021166438,0.021318715,0.913659205,0.091975027,,0.634615385,5.24556213,24,5.835798817,59,0,62.12882595,,0,9.44114512,21.77554439,15.37992995,31.03487133,35.78498553,8.37520938
429,Åmot,Kommune,10013,Sør Østerdal,4,Hedmark,2014,4455,527,,,1.571268238,,0.224466891,2.244668911,2.244668911,0.897867565,,,,0.897867565,46.03030303,109.9887767,2.412121212,72,89,4.030527497,186.5319865,5.660381594,,2.469135802,0.199551066,,0.204933586,2.013282732,291,5.222011385,250,0.897867565,157.1268238,0,36.13916947,14.81481481,9.203142536,15.48821549,5.330415264,21.32435466,
429,Åmot,Kommune,10013,Sør Østerdal,4,Hedmark,2015,4456,524,47.12746858,,2.244165171,,,1.795332136,1.795332136,,,,,0.673249551,36.86220826,125.2244165,2.787701975,55,52,4.333258528,177.2890485,5.479578097,0.118491921,1.346499102,0.057450628,,0.177480916,2.158396947,236,6.238549618,256,6.058348294,245.7360862,,36.13105925,14.81149013,8.976660682,17.50448833,5.945017953,10.09874327,
